Dates;Times;Location;Operator;FlightNo;Route;ACType;Registration;Aboard;Fatalities;Ground;Summary;FatalitiesInt;AboardInt;GroundInt;Month;Year;DeathRate;Jan;Feb;Mar;Apr;May;June;July;Aug;Sep;Oct;Nov;Dec;Weather
2013/11/29;20:25;Glasgow Scotland;Bond Air Services Ltd.;?;?;0;G-SPAO;546;3 ? (passengers:2? crew:1);3 ? (passengers:2? crew:1);The police helicopter crashed into the roof of the Clutha Pub in central Glasgow killing at least 5 patrons along with 3 aboard he helicopter. The helicopter was carrying a civilian pilot and two Strathclyde police officers.;3;546;3;11;2013;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2013/11/29;18:30;Near St. Marys, Alaska;Hageland Aviation Services;1453;Bethel - Saint Marys;0;N12373;208B0697;10 ? (passengers:9? crew:1);4 ? (passengers:3? crew:1);The commuter plane crashed about 4 miles East of St. Marys in freezing rain.;10;208B0697;4;11;2013;0.4;0;0;0;0;0;0;0;0;0;0;1;0;0
2013/12/5;?;Near Cachimbo, Brazil;Heringer Taxi Aero;?;Pukanu - Novo Progresso;0;PT-WMY;314;5 ? (passengers:3? crew:2);5 ? (passengers:3? crew:2);While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots.;5;314;5;12;2013;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2013/12/11;15:48;Kalaupapa, Hawaii;Makani Kai Air;?;Kalaupapa - Honolulu;0;N687MA?;208B-1002;9 ? (passengers:8? crew:1);1 ? (passengers:1? crew:0);The aircraft crashed into the ocean shortly after taking off from Kalaupapa Airport. Preliminary indications are that there was catastrophic engine failure.;9;208B-1002;1;12;2013;0.1111;0;0;0;0;0;0;0;0;0;0;0;1;0
2013/12/26;21:39;Irkutsk, Russia;IrAvia;?;Novosibirsk - Ikustsk;0;12162;3341509;9 ? (passengers:3? crew:6);9 ? (passengers:3? crew:6);The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed.;9;3341509;9;12;2013;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2014/1/18;11:00;Near Olive Creek, Guyana;Trans Guyana Airways;700;Olive Creek - Imbaimada;0;8R-GHS?;208B0830;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The aircraft crashed in a wooded area while en route. Both crew members aboard were killed.;2;208B0830;2;1;2014;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2014/1/20;16:34;Near Petreasa Romania;Scoala Superioara de Aviatie Civla;?;Bucharest - Oradea;0;YR-BNP;822;7 ? (passengers:5? crew:2);2 ? (passengers:1? crew:1);The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.;7;822;2;1;2014;0.2857;1;0;0;0;0;0;0;0;0;0;0;0;0
2014/2/11;11:59;Near Ain Kercha, Algeria;Military - Algerian Air Force;?;Tamanarasset - Constatine;0;7T-WHM;4919;78 ? (passengers:?? crew:?);77 ? (passengers:?? crew:?);The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area.;78;4919;77;2;2014;0.9872;0;1;0;0;0;0;0;0;0;0;0;0;1
2014/2/16;13:15;Sandhikhark, Nepal;Nepal Airlines;183;Kathmandu - Pokhara - Jumla;0;9N-ABB?;302;18 ? (passengers:15? crew:3);18 ? (passengers:15? crew:3);The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident.;18;302;18;2;2014;1;0;1;0;0;0;0;0;0;0;0;0;0;1
2014/2/21;01:45;Grombalia, Tunisia;Libyan Air Cargo;?;Tripoli - Tunis;0;5A-DOW?;11809;11 ? (passengers:6? crew:5);11 ? (passengers:6? crew:5);The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident.;11;11809;11;2;2014;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2014/2/26;21:05;Near Lanai Airport, Hawaii;Maui Air;?;Lanai - Kahului;0;N483VA;31-7552124;6 ? (passengers:5? crew:1);3 ? (passengers:2? crew:1);The charter flight crashed in flat grasslands near the Maui Electric Co. power plant shortly after taking off from Lanai Airport. The pilot and two passengers were killed. The plane was destroyed by fire.;6;31-7552124;3;2;2014;0.5;0;1;0;0;0;0;0;0;0;0;0;0;0
2014/3/8;241;South Indian Ocean;Malaysia Airlines;370;Kuala Lumpur?- Beijing;1;9M-MRO;28420/404;239 ? (passengers:227? crew:12);239 ? (passengers:227? crew:12);Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished.;239;28420/404;239;3;2014;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2014/3/18;752;Seattle, Washington;Helicopters Inc / KOMO TV;?;News reporting;0;N250FB;3669;2 ? (passengers:1? crew:1);2 ? (passengers:1? crew:1);The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.;2;3669;2;3;2014;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2014/3/22;1130;Caboolture, Queensland, Australia;Skydive Caboolture;?;Parachuting;0;VH-FRT;U2064019;5 ? (passengers:4? crew:1);5 ? (passengers:4? crew:1);The skydiving plane crashed and burned shortly after taking off from Caboolture airfieldl. The pilot and four skydivers were all kille;5;U2064019;5;3;2014;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2014/4/8;1556;Near Bethel, Alaska;Hageland Aviaiton Services;?;Training;0;N126AR;208B-104;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The training flight impacted terrain in the Three Steps Mountain region approximately 30 miles southeast of Bethel. The burning wreckage was spotted two hour later. Two pilots were killed. No passengers were aboard.;2;208B-104;2;4;2014;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2014/4/19;1945;Ramos Arizpe, Mexico;Lineas Aereas Comerciales;?;Cozumel - Ramos Arizpe;0;XA-UKR;25719;8 ? (passengers:6? crew:2);8 ? (passengers:6? crew:2);While on approach, in fog, the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport.;8;25719;8;4;2014;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2014/4/20;1530;Jamijarvi, Finland;Suomen Urheiluilmailijat;?;Skydiving;0;OH-XDZ?;?;8 ? (passengers:7? crew:1);8 ? (passengers:7? crew:1);While carrying skydivers, the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries.;8;?;8;4;2014;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2014/5/8;1245;Near San Vicente del Caguan, Colombia;Alisansa Colombia;?;Villavicencio - Florencia;0;HK-4700;9700;6 ? (passengers:0? crew:6);6 ? (passengers:0? crew:6);The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Caguán?while en route.;6;9700;6;5;2014;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2014/5/17;800;Xiang Khouang province, Laos;Laos Air Force;?;Vientiane - Xiangkhoung;0;RDPL-34020?;36547098982;17 ? (passengers:11? crew:6);16 ? (passengers:10? crew:6);The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials.;17;36547098982;16;5;2014;0.9412;0;0;0;0;1;0;0;0;0;0;0;0;0
2014/6/14;50;Lugansk, Ukraine;Military - Ukraine Air Force;?;?;0;76777;83482490;49 ? (passengers:40? crew:9);49 ? (passengers:40? crew:9);The military transport crashed in a wheat field  near Lugansk Airport after being shot down by anti-aircraft fire.;49;83482490;49;6;2014;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2014/7/2;?;Near Nairobi, Kenya;Skyward International Aviation;?;Nairobi - Mogadishu, Somalia;0;5Y-CET;20262;4 ? (passengers:0? crew:4);4 ? (passengers:0? crew:4);The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport.;4;20262;4;7;2014;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2014/7/7;750;Thach That district, Vietnam;Military - Vietnam People's Army Air Force;?;Training;0;?;?;19 ? (passengers:21? crew:2);18 ? (passengers:?? crew:?);The helicopter crashed about  40 km west of Hanoi, 15 minutes after taking off during a parachute training mission.;19;?;18;7;2014;0.9474;0;0;0;0;0;0;1;0;0;0;0;0;0
2014/7/17;1315Z;Hrabove, Ukraine;Malaysia Airlines;17;Amsterdam - Kuala Lumpur;1;9M-MRD;28411/84;298 ? (passengers:283? crew:15);298 ? (passengers:283? crew:15);A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed.;298;28411/84;298;7;2014;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2014/7/23;1906;Magong, Taiwan;TransAsia Airways;222;Kaohsiung - Magong;0;B-22810;642;58 ? (passengers:54? crew:4);48 ? (passengers:44? crew:4);The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures.;58;642;48;7;2014;0.8276;0;0;0;0;0;0;1;0;0;0;0;0;1
2014/7/24;230;Aguelhok, Mali;Air Algerie;5017;Ouagadougou, Burkina Faso - Algiers, Algeria;0;EC-LTV;53190/2148;116 ? (passengers:110? crew:6);116 ? (passengers:110? crew:6);Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair.;116;53190/2148;116;7;2014;1;0;0;0;0;0;0;1;0;0;0;0;0;1
2014/8/10;920;Tehran, Iran;Sepahan Airlines;5915;Tehran - Tabas;0;EP-GPA;9005;48 ? (passengers:40? crew:8);39 ? (passengers:31? crew:8);After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller.;48;9005;39;8;2014;0.8125;0;0;0;0;0;0;0;1;0;0;0;0;0
2014/8/16;500;Grand Manan Island, New Brunswick, Canada;Atlantic Charters;?;St. John - Manan;0;C-GKWE;31-7812037;4 ? (passengers:2? crew:2);2 ? (passengers:1? crew:1);The air ambulance carrying 4 people crashed in a wooded area shortly after 5 AM. The pilot and paramedic were killed. A nurse and second pilot survived. The accident happened after the plane dropped off a patiant at St. Johns Regional Hospital.;4;31-7812037;2;8;2014;0.5;0;0;0;0;0;0;0;1;0;0;0;0;0
2014/8/27;1700;Las Cruces, New Mexico;Amigos Aviation / Elite Medical Transport;?;Las Cruces - Phoenix;0;N51RX;421C0871;4 ? (passengers:3? crew:1);4 ? (passengers:3? crew:1);The twin engine aircraft had just left the Las Cruces Airport at a low altitude when it crashed and burst into flames. All aboard including a flight paramedic, flight nurse , patient and pilot were killed. The plane was refueled with jet fuel instead of aviation gasoline.;4;421C0871;4;8;2014;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2014/8/30;240;Tamanraset, Algeria;Ukraine Air Alliance;?;Glascow -Tamanraset - Equitorial Guinea;0;UR-DWF;8345802;7 ? (passengers:5? crew:2);7 ? (passengers:5? crew:2);The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off.;7;8345802;7;8;2014;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2014/8/31;1945;Mwanza, Tanzania;Safari Express Cargo;?;Mwanza - Nairobi;0;5Y-SXP;10681;3 ? (passengers:1? crew:2);3 ? (passengers:1? crew:2);The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza.;3;10681;3;8;2014;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2014/9/6;1450;Near Puerto Santander, Colombia;Laser;?;Araracuara - Florencia;0;HK-4755;31-7952044;10 ? (passengers:8? crew:2);10 ? (passengers:8? crew:2);The passenger plane crashed into the jungle while en route. The aircraft was located 6 miles from the town of Puerto Santander, fragmented and burned.;10;31-7952044;10;9;2014;1;0;0;0;0;0;0;0;0;1;0;0;0;0
2014/9/20;935;Near Port Moresby, Papua New Guinea;Hevlift;?;Woitape - Port Moresby;0;P2-KSV;528;9 ? (passengers:7? crew:2);4 ? (passengers:2? crew:2);While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather.;9;528;4;9;2014;0.4444;0;0;0;0;0;0;0;0;1;0;0;0;1
2014/10/4;156;Wichita Falls, Texas;Air Evac Lifeteam;?;Waurika, OK - Wichita Falls, TX;0;?;?;4 ? (passengers:1? crew:3);2 ? (passengers:1? crew:1);The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured.;4;?;2;10;2014;0.5;0;0;0;0;0;0;0;0;0;1;0;0;0
2014/12/2;937;Off Nassau, New Providence Island, Bahamas;Ferg's Air Charter;?;Governors Harbour - Lynden Pindling Int;0;C6-REV?;31-765062;11 ? (passengers:10? crew:1);1 ? (passengers:1? crew:0);The pilot of the charter aircraft radoed he had lost power after which he ditched the aircraft in shallow water 550 feet off shore, near Clifton Pier.;11;31-765062;1;12;2014;0.0909;0;0;0;0;0;0;0;0;0;0;0;1;0
2014/12/3;930;Near Mariquita, Colombia;Nacional de Aviación;?;Guaymaral - Bahia Solano;0;HK-4464?;31-7952229;10 ? (passengers:8? crew:2);10 ? (passengers:8? crew:2);The pilot stated he was making an emergency landing but crashed 8 miles from the Jose Celestino Mutis airport. The impact completely destroyed the plane.;10;31-7952229;10;12;2014;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2014/12/24;1430;Near Piedecuesta, Colombia;Alas de Columbia;?;Bucaramanga - Málaga;0;HK-4892;20700646;7 ? (passengers:6? crew:1);7 ? (passengers:6? crew:1);After radioing air traffic control to report a problem with the engine oil pressure, the pilot attempted an emergency landing, but the aircraft crashed close to Mesa de los antos killing all seven aboard.;7;20700646;7;12;2014;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2014/12/28;300;Near Uvira, Congo;Air Sirin;902;Bujumbura, Burundi - Pointe Noire, Congo;0;4L-AFS;8606;6 ? (passengers:0? crew:6);6 ? (passengers:0? crew:6);The cargo plane impacted a mountainside while en route.;6;8606;6;12;2014;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2014/12/28;618;Java Sea;AirAsia;8501;Surabaya - Singapore;1;PK-AXC;3648;162 ? (passengers:155? crew:7);162 ? (passengers:155? crew:7);The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident.;162;3648;162;12;2014;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2015/1/18;?;Near Abu adh Dhuhur Air Base, Syria;Syrian Air Force;?;?;0;?;?;37 ? (passengers:35? crew:2);37 ? (passengers:35? crew:2);The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft.;37;?;37;1;2015;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2015/2/4;1055;Taipei, Taiwan;Transasia;235;Taipei - Kinmen;0;B-22816;1141;58 ? (passengers:53? crew:5);40 ? (passengers:36? crew:4);After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. A speed sensor on the right engine malfunctioned and caused it to feather. The captain then  mistakenly throttled down a still-running left engine. Without any engine power, the plane lost altitude and crashed,. Pilot error.;58;1141;40;2;2015;0.6897;0;1;0;0;0;0;0;0;0;0;0;0;0
2015/3/10;?;Villa Castelli, Argenina;Private;?;?;0;?;?;10 ? (passengers:8? crew:2);10 ? (passengers:8? crew:2);Three French sports figures participating in a reality show were killed along with seven other people when the two helicopters filming the show collided.;10;?;10;3;2015;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2015/3/24;1053;Near Digne-Les-Bains, France;Germanwings;9525;Barcelona, Spain - Dusseldorf, Germany;1;D-AIPX;147;150 ? (passengers:144? crew:6);150 ? (passengers:144? crew:6);The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed.The copilot locked the captain out of the cockpit and put the plane into a controlled descent until it impacted the ground.;150;147;150;3;2015;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2015/4/20;?;Punta Cana, Dominican Republic;Sky High Aviation Services;?;Punta Cana - Arroyo Barril;0;HI-957?;?;7 ? (passengers:6? crew:1);7 ? (passengers:6? crew:1);The plane crashed shortly after taking off. The pilot tried to make an emergency landing onto a golf course but the plane struck a tree an burst into flames.;7;?;7;4;2015;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2015/6/25;1343;Ella Lake, Alaska;Promech Air;?;Sightseeing;0;N270PA;270;9 ? (passengers:8? crew:1);9 ? (passengers:8? crew:1);The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan.;9;270;9;6;2015;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2015/6/30;1148;Medan, Indonesia;Military - Indonesian Air Force;?;Medan - Tanjung Pinang, Sumatra.;0;A-1310;3616;122 ? (passengers:110? crew:12);122 ? (passengers:110? crew:12);The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel.;122;3616;122;6;2015;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2015/7/17;1322;Near Juneau, Alaska;Wings of Alaska;202;Juneau - Hoonah;0;N62AK;"	20700780";5 ? (passengers:4? crew:1);1 ? (passengers:0? crew:1);The scheduled passenger plane crashed in a wooded forest northeast of Juneau, 15 minutes into a 20 minute flight to Hoonah. The pilot was killed and the passengers sustained serious injuries.;5;"	20700780";1;7;2015;0.2;0;0;0;0;0;0;1;0;0;0;0;0;0
2015/7/31;?;Near Agustin Codazzi, Colombia;Military - Colombia Air Force;?;Palanquero AB -Valledupar;0;FAC1261;C-118;11 ? (passengers:0? crew:11);11 ? (passengers:0? crew:11);The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.;11;C-118;11;7;2015;1;0;0;0;0;0;0;1;0;0;0;0;0;1
2015/8/12;845;Ninia, Indonesia;Komala Air;?;Wamena - Ninia;0;PK-KIG;650-0151;6 ? (passengers:4? crew:2);1 ? (passengers:0? crew:1);Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed.;6;650-0151;1;8;2015;0.1667;0;0;0;0;0;0;0;1;0;0;0;0;0
2015/8/16;1455;Tangok mountain, Papua;Trigana Air Service;267;Jayapura- Oksibil;0;PK-YRN;102;54 ? (passengers:49? crew:5);54 ? (passengers:49? crew:5);The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most provence. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area.;54;102;54;8;2015;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2015/9/5;1908;Off Dakar, Near Dioubel, Senegal;Senegalair;71;Ouagadougou - Dakar;0;6V-AIM;257062;7 ? (passengers:5? crew:2);7 ? (passengers:2? crew:5);The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient.;7;257062;7;9;2015;1;0;0;0;0;0;0;0;0;1;0;0;0;0
2015/9/15;624;Iliamna East Wind Lake, Alaska;Rainbow King Lodge;?;Iliamna - Remote lake;0;N928PK;61;7 ? (passengers:6? crew:1);3 ? (passengers:3? crew:0);While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed.;7;61;3;9;2015;0.4286;0;0;0;0;0;0;0;0;1;0;0;0;0
2015/10/2;19;Jalalabad, Afghanistan;Military - U.S. Army;?;?;0;?;?;11 ? (passengers:5? crew:6);11 ? (passengers:5? crew:6);The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed.;11;?;11;10;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2015/10/2;1429;Near Masamba, Indonesia;Avistar Mandari?;7503;Masamba - Makassar;0;PK-BRM;741;10 ? (passengers:7? crew:3);10 ? (passengers:7? crew:3);The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong.;10;741;10;10;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2015/10/31;830;Near Ilaga, Indonesia;Trigana Air Service;?;Timik - Ilaga;0;PK-SWW;303;4 ? (passengers:0? crew:4);4 ? (passengers:0? crew:4);The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact.;4;303;4;10;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2015/10/31;613;Near Hasna, Egypt;Metrojet;9268;Sharem el Sheikh - St. Petersburg;1;EI-ETJ;663;224 ? (passengers:217? crew:7);224 ? (passengers:217? crew:7);Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device.;224;663;224;10;2015;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2015/11/4;900;Juba, South Sudan;Allied Services Limited?;?;Juba - Paloich;0;EY-406?;1347704;43 ? (passengers:38? crew:5);41 ? (passengers:37? crew:4);The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13.;43;1347704;41;11;2015;0.9535;0;0;0;0;0;0;0;0;0;0;1;0;0
2015/11/21;1155;  Fox Glacier, South Valley, New Zealand;Alpine Adventures;?;Sightseeing;0;ZK-HKU;1132;7 ? (passengers:6? crew:1);7 ? (passengers:6? crew:1);The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet.;7;1132;7;11;2015;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2015/11/24;1015;Near Igarka, Russia;Turuhan Avia;?;Igarka - Krasnyi Selkub;0;RA-2561;98206821/59;26 ? (passengers:22? crew:4);15 ? (passengers:13? crew:2);Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed.;26;98206821/59;15;11;2015;0.5769;0;0;0;0;0;0;0;0;0;0;1;0;0
2015/12/22;940;Delhi, India;Border Security Force;?;Delhi - Ranchi;0;VT-BSA?;BB-1485;10 ? (passengers:9? crew:1);10 ? (passengers:9? crew:1);Shortly after taking off, the pilot indicated they wanted to return to the airport. Soon after, the aircraft impacted terrain near Delhi Indira Gandhi Airport.;10;BB-1485;10;12;2015;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2015/12/24;835;Mbuji, Congo;Services Air;?;Lubumbashi - Mbuji-Mayi;1;9Q-CVH;413;4 ? (passengers:0? crew:4);0 ? (passengers:0? crew:0);While landing at Mbuji-Mayi Airport, the cargo plane overran the runway and crashed into several houses.;4;413;0;12;2015;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2016/1/8;20;Akkajaure Lake, Norrbotten, Sweden;West Air Sweden;294;Oslo - Tromsø;0;SE-DUX;7010;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);"While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground. PC While flying at night, one Inertial Reference Unit failed and suddenly the instruments for the pilot flying showed the plane pitching steeply up, which he tried to correct.  Due to the plane's unusual attitude, the instruments went into a ""declutter"" mode, which among other things removed the indication that the two pilots' instruments were conflicting.";2;7010;2;1;2016;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2016/2/2;?; Near Mogadishu, Somalia;Daallo Airlines;3159;Mogadishu - Djibouti;1;SX-BHS;642;72 ? (passengers:72? crew:?);1 ? (passengers:1? crew:?);Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.;72;642;1;2;2016;0.0139;0;1;0;0;0;0;0;0;0;0;0;0;0
2016/2/24;815;Dana, Nepal;Tara Air;193;?;0;9N-AHH;926;23 ? (passengers:20? crew:3);23 ? (passengers:20? crew:3);The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident.;23;926;23;2;2016;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2016/2/26;?;250 miles northwest of Kathmandu, Nepal;Kasthamandap Airlines;?;Nepalganj - Jumla;0;9N-AJB;160;11 ? (passengers:9? crew:2);2 ? (passengers:0? crew:2);The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.;11;160;2;2;2016;0.1818;0;1;0;0;0;0;0;0;0;0;0;0;0
2016/3/9;905;Cox's Bazar, Bangladesh;True Aviation Ltd.;?;Cox's Bazar - Jessore;0;S2-AGZ;13408;4 ? (passengers:0? crew:4);3 ? (passengers:0? crew:3);The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore.;4;13408;3;3;2016;0.75;0;0;1;0;0;0;0;0;0;0;0;0;0
2016/3/15;1430;Fatima Pastaza, Ecuador;Military - Ecuador Army;?;Training;0;E-206;90;22 ? (passengers:19? crew:3);22 ? (passengers:19? crew:3);The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed.;22;90;22;3;2016;1;0;0;1;0;0;0;0;0;0;0;0;0;1
